Question,hardness,Ground Truth SQL,Basic Predicted SQL,SoQ Predicted SQL,EX,EX SoQ
How many singers do we have?,easy,SELECT count(*) FROM singer,SELECT COUNT(*) FROM singer,SELECT COUNT(*) FROM singer  Step-by-Step Sub-Questions: 1. What table contains information about singers? 2. How many rows are in the singer table?,1,0
What is the total number of singers?,easy,SELECT count(*) FROM singer,SELECT COUNT(*) FROM singer,SELECT COUNT(*) FROM singer,1,1
"Show name, country, age for all singers ordered by age from the oldest to the youngest.",medium,"SELECT name ,  country ,  age FROM singer ORDER BY age DESC","SELECT name, country, age FROM singer ORDER BY age DESC","SELECT name, country, age FROM singer ORDER BY age DESC",1,1
"What are the names, countries, and ages for every singer in descending order of age?",medium,"SELECT name ,  country ,  age FROM singer ORDER BY age DESC","SELECT name, country, age FROM singer ORDER BY age DESC","SELECT name, country, age FROM singer ORDER BY age DESC",1,1
"What is the average, minimum, and maximum age of all singers from France?",medium,"SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","SELECT AVG(age), MIN(age), MAX(age) FROM singer WHERE country = 'France'","SELECT AVG(age), MIN(age), MAX(age) FROM singer WHERE country = 'France'",1,1
"What is the average, minimum, and maximum age for all French singers?",medium,"SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","SELECT AVG(age), MIN(age), MAX(age) FROM singer WHERE country = 'France'","SELECT AVG(age), MIN(age), MAX(age) FROM singer WHERE country = 'France'",1,1
Show the name and the release year of the song by the youngest singer.,medium,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1","SELECT T1.song_name, T1.song_release_year FROM singer AS T1 ORDER BY T1.age ASC LIMIT 1","SELECT T1.song_name, T1.song_release_year FROM singer AS T1 INNER JOIN singer_in_concert AS T2 ON T1.singer_id = T2.singer_id ORDER BY T1.age ASC LIMIT 1  Step-by-Step Sub-Questions: . What singers are in concerts? 2. Among these singers, which one is the youngest? 3. What is the name and release year of the song by this youngest singer?",1,0
What are the names and release years for all the songs of the youngest singer?,medium,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1","SELECT song_name, song_release_year FROM singer WHERE age = ( SELECT MIN(age) FROM singer )","SELECT T1.song_name, T1.song_release_year FROM singer AS T1 ORDER BY T1.age ASC LIMIT 1  Step-by-Step Sub-Questions: 1. What is the youngest singer? 2. What are the songs of the youngest singer? 3. What are the names and release years of these songs?",1,0
What are all distinct countries where singers above age 20 are from?,easy,SELECT DISTINCT country FROM singer WHERE age  >  20,SELECT DISTINCT country FROM singer WHERE age > 20,SELECT DISTINCT T1.country FROM singer AS T1 WHERE T1.age > 20  Step-by-Step Sub-Questions: 1. What singers are above the age of 20? 2. What countries are these singers from? 3. List all distinct countries from these singers.,1,0
What are  the different countries with singers above age 20?,easy,SELECT DISTINCT country FROM singer WHERE age  >  20,SELECT DISTINCT country FROM singer WHERE age > 20,SELECT DISTINCT country FROM singer WHERE age > 20,1,1
Show all countries and the number of singers in each country.,medium,"SELECT country ,  count(*) FROM singer GROUP BY country","SELECT country ,  COUNT(*) FROM singer GROUP BY country","SELECT T1.country, COUNT(*) FROM singer AS T1 GROUP BY T1.country",1,1
How many singers are from each country?,medium,"SELECT country ,  count(*) FROM singer GROUP BY country","SELECT country, COUNT(*) FROM singer GROUP BY country","SELECT COUNT(*) ,  T1.country FROM singer AS T1 GROUP BY T1.country  Step-by-Step Sub-Questions: . What singers are from each country? 2. How many singers are there from each country? 3. Group the singers by their country of origin.",1,0
