,Qid,Question,Db_Id,Difficulty,Query Gold,Repeated,Query Generated,Most Frequent Query
0,30,Which toxic element can be found in the molecule TR151?,toxicology,challenging,SELECT DISTINCT T.element FROM atom AS T WHERE T.molecule_id = 'TR151',5,"SELECT element FROM atom a JOIN connected c ON a.atom_id = c.atom_id JOIN bond b ON c.bond_id = b.bond_id JOIN molecule m ON b.molecule_id = m.molecule_id WHERE m.label = 'TR151' AND b.bond_type = 'toxic'
SELECT element FROM atom WHERE molecule_id = (SELECT molecule_id FROM molecule WHERE label = 'TR151') AND atom_id IN (SELECT atom_id FROM connected WHERE bond_id IN (SELECT bond_id FROM bond WHERE bond_type = 'toxic'))
SELECT element FROM atom a JOIN connected c ON a.atom_id = c.atom_id JOIN bond b ON c.bond_id = b.bond_id JOIN molecule m ON b.molecule_id = m.molecule_id WHERE m.label = 'TR151' AND b.bond_type = 'toxic'
SELECT element FROM atom WHERE molecule_id = (SELECT molecule_id FROM molecule WHERE label = 'TR151') AND atom_id IN (SELECT atom_id FROM connected WHERE bond_id IN (SELECT bond_id FROM bond WHERE bond_type = 'toxic'))
SELECT element FROM atom WHERE molecule_id = (SELECT molecule_id FROM molecule WHERE label = 'TR151') AND atom_id IN (SELECT atom_id FROM connected WHERE bond_id IN (SELECT bond_id FROM bond WHERE bond_type = 'toxic'))",SELECT element FROM atom WHERE molecule_id = (SELECT molecule_id FROM molecule WHERE label = 'TR151') AND atom_id IN (SELECT atom_id FROM connected WHERE bond_id IN (SELECT bond_id FROM bond WHERE bond_type = 'toxic'))
1,104,How many views did the post titled 'Integration of Weka and/or RapidMiner into Informatica PowerCenter/Developer' get?,codebase_community,moderate,SELECT ViewCount FROM posts WHERE Title = 'Integration of Weka and/or RapidMiner into Informatica PowerCenter/Developer',5,"SELECT posts.viewcount FROM posts WHERE posts.title = 'Integration of Weka and/or RapidMiner into Informatica PowerCenter/Developer'
SELECT COUNT(*) FROM posts WHERE title = 'Integration of Weka and/or RapidMiner into Informatica PowerCenter/Developer'
SELECT posts.viewcount FROM posts WHERE posts.title = 'Integration of Weka and/or RapidMiner into Informatica PowerCenter/Developer'
SELECT posts.viewcount FROM posts WHERE posts.title = 'Integration of Weka and/or RapidMiner into Informatica PowerCenter/Developer'
SELECT posts.viewcount FROM posts WHERE posts.title = 'Integration of Weka and/or RapidMiner into Informatica PowerCenter/Developer'",SELECT posts.viewcount FROM posts WHERE posts.title = 'Integration of Weka and/or RapidMiner into Informatica PowerCenter/Developer'
2,189,"Among the players whose preferred foot was the left foot when attacking, how many of them would remain in his position when the team attacked?",european_football_2,moderate,SELECT COUNT(player_api_id) FROM Player_Attributes WHERE preferred_foot = 'left' AND attacking_work_rate = 'low',5,"SELECT player_attributes.player_api_id, player_attributes.player_fifa_api_id, player_attributes.date, player_attributes.overall_rating, player_attributes.potential, player_attributes.preferred_foot, player_attributes.attacking_work_rate, player_attributes.defensive_work_rate, player_attributes.crossing, player_attributes.finishing, player_attributes.heading_accuracy, player_attributes.short_passing, player_attributes.volleys, player_attributes.dribbling, player_attributes.curve, player_attributes.free_kick_accuracy, player_attributes.long_passing, player_attributes.ball_control, player_attributes.acceleration, player_attributes.sprint_speed, player_attributes.agility, player_attributes.reactions, player_attributes.balance, player_attributes.shot_power, player_attributes.jumping, player_attributes.stamina, player_attributes.strength, player_attributes.long_shots, player_attributes.aggression, player_attributes.interceptions, player_attributes.positioning, player_attributes.vision, player_attributes.penalties, player_attributes.marking, player_attributes.standing_tackle, player_attributes.sliding_tackle, player_attributes.gk_diving, player_attributes.gk_handling, player_attributes.gk_kicking, player_
SELECT player_attributes.player_api_id, player_attributes.player_fifa_api_id, player_attributes.date, player_attributes.overall_rating, player_attributes.potential, player_attributes.preferred_foot, player_attributes.attacking_work_rate, player_attributes.defensive_work_rate, player_attributes.crossing, player_attributes.finishing, player_attributes.heading_accuracy, player_attributes.short_passing, player_attributes.volleys, player_attributes.dribbling, player_attributes.curve, player_attributes.free_kick_accuracy, player_attributes.long_passing, player_attributes.ball_control, player_attributes.acceleration, player_attributes.sprint_speed, player_attributes.agility, player_attributes.reactions, player_attributes.balance, player_attributes.shot_power, player_attributes.jumping, player_attributes.stamina, player_attributes.strength, player_attributes.long_shots, player_attributes.aggression, player_attributes.interceptions, player_attributes.positioning, player_attributes.vision, player_attributes.penalties, player_attributes.marking, player_attributes.standing_tackle, player_attributes.sliding_tackle, player_attributes.gk_diving, player_attributes.gk_handling, player_attributes.gk_kicking, player_
SELECT player_attributes.player_api_id, player_attributes.player_fifa_api_id, player_attributes.preferred_foot, player_attributes.attacking_work_rate, player_attributes.defensive_work_rate, player_attributes.crossing, player_attributes.finishing, player_attributes.heading_accuracy, player_attributes.short_passing, player_attributes.volleys, player_attributes.dribbling, player_attributes.curve, player_attributes.free_kick_accuracy, player_attributes.long_passing, player_attributes.ball_control, player_attributes.acceleration, player_attributes.sprint_speed, player_attributes.agility, player_attributes.reactions, player_attributes.balance, player_attributes.shot_power, player_attributes.jumping, player_attributes.stamina, player_attributes.strength, player_attributes.long_shots, player_attributes.aggression, player_attributes.interceptions, player_attributes.positioning, player_attributes.vision, player_attributes.penalties, player_attributes.marking, player_attributes.standing_tackle, player_attributes.sliding_tackle, player_attributes.gk_diving, player_attributes.gk_handling, player_attributes.gk_kicking, player_attributes.gk_positioning, player_attributes.gk_reflexes FROM player_attributes INNER JOIN
SELECT player_attributes.player_api_id, player_attributes.player_fifa_api_id, player_attributes.date, player_attributes.overall_rating, player_attributes.potential, player_attributes.preferred_foot, player_attributes.attacking_work_rate, player_attributes.defensive_work_rate, player_attributes.crossing, player_attributes.finishing, player_attributes.heading_accuracy, player_attributes.short_passing, player_attributes.volleys, player_attributes.dribbling, player_attributes.curve, player_attributes.free_kick_accuracy, player_attributes.long_passing, player_attributes.ball_control, player_attributes.acceleration, player_attributes.sprint_speed, player_attributes.agility, player_attributes.reactions, player_attributes.balance, player_attributes.shot_power, player_attributes.jumping, player_attributes.stamina, player_attributes.strength, player_attributes.long_shots, player_attributes.aggression, player_attributes.interceptions, player_attributes.positioning, player_attributes.vision, player_attributes.penalties, player_attributes.marking, player_attributes.standing_tackle, player_attributes.sliding_tackle, player_attributes.gk_diving, player_attributes.gk_handling, player_attributes.gk_kicking, player_
SELECT player_attributes.player_api_id, player_attributes.preferred_foot, player_attributes.attacking_work_rate, player_attributes.defensive_work_rate, player_attributes.crossing, player_attributes.finishing, player_attributes.heading_accuracy, player_attributes.short_passing, player_attributes.volleys, player_attributes.dribbling, player_attributes.curve, player_attributes.free_kick_accuracy, player_attributes.long_passing, player_attributes.ball_control, player_attributes.acceleration, player_attributes.sprint_speed, player_attributes.agility, player_attributes.reactions, player_attributes.balance, player_attributes.shot_power, player_attributes.jumping, player_attributes.stamina, player_attributes.strength, player_attributes.long_shots, player_attributes.aggression, player_attributes.interceptions, player_attributes.positioning, player_attributes.vision, player_attributes.penalties, player_attributes.marking, player_attributes.standing_tackle, player_attributes.sliding_tackle, player_attributes.gk_diving, player_attributes.gk_handling, player_attributes.gk_kicking, player_attributes.gk_positioning, player_attributes.gk_reflexes FROM player_attributes WHERE player_attributes.player_api_id IN (SELECT player","SELECT player_attributes.player_api_id, player_attributes.player_fifa_api_id, player_attributes.date, player_attributes.overall_rating, player_attributes.potential, player_attributes.preferred_foot, player_attributes.attacking_work_rate, player_attributes.defensive_work_rate, player_attributes.crossing, player_attributes.finishing, player_attributes.heading_accuracy, player_attributes.short_passing, player_attributes.volleys, player_attributes.dribbling, player_attributes.curve, player_attributes.free_kick_accuracy, player_attributes.long_passing, player_attributes.ball_control, player_attributes.acceleration, player_attributes.sprint_speed, player_attributes.agility, player_attributes.reactions, player_attributes.balance, player_attributes.shot_power, player_attributes.jumping, player_attributes.stamina, player_attributes.strength, player_attributes.long_shots, player_attributes.aggression, player_attributes.interceptions, player_attributes.positioning, player_attributes.vision, player_attributes.penalties, player_attributes.marking, player_attributes.standing_tackle, player_attributes.sliding_tackle, player_attributes.gk_diving, player_attributes.gk_handling, player_attributes.gk_kicking, player_"
3,127,How old is the most influential user?,codebase_community,simple,SELECT Age FROM users WHERE Reputation = ( SELECT MAX(Reputation) FROM users ),5,"SELECT MAX(users.age) FROM users
SELECT MAX(users.age) FROM users
SELECT MAX(users.age) FROM users JOIN posts ON users.id = posts.owneruserid JOIN votes ON posts.id = votes.postid JOIN badges ON users.id = badges.userid JOIN comments ON users.id = comments.userid JOIN posthistory ON users.id = posthistory.userid JOIN postlinks ON users.id = postlinks.userid JOIN tags ON users.id = tags.id
SELECT MAX(users.age) FROM users
SELECT MAX(users.age) FROM users",SELECT MAX(users.age) FROM users
4,92,"Among the sets whose expansion type is Commander, which set has the highest total number of cards including promotional and related supplemental products but excluding Alchemy modifications? Indicate the id of the set.",card_games,challenging,SELECT id FROM sets WHERE type = 'commander' ORDER BY totalSetSize DESC LIMIT 1,5,"SELECT setcode, COUNT(*) FROM cards WHERE setcode IN (SELECT setcode FROM sets WHERE expansiontype = 'Commander') GROUP BY setcode ORDER BY COUNT(*) DESC LIMIT 1
SELECT setcode, COUNT(*) AS total_cards FROM cards WHERE setcode IN (   SELECT setcode   FROM sets   WHERE expansiontype = 'Commander' ) AND setcode NOT IN (   SELECT setcode   FROM sets   WHERE expansiontype = 'Alchemy' ) GROUP BY setcode ORDER BY total_cards DESC LIMIT 1
SELECT setcode, COUNT(*) AS total_cards FROM cards WHERE setcode IN (     SELECT setcode     FROM sets     WHERE expansiontype = 'Commander' ) AND setcode NOT IN (     SELECT setcode     FROM sets     WHERE expansiontype = 'Alchemy' ) GROUP BY setcode ORDER BY total_cards DESC LIMIT 1
SELECT setcode, COUNT(*) AS total_cards FROM cards WHERE setcode IN (     SELECT setcode     FROM sets     WHERE expansiontype = 'Commander' ) AND setcode NOT IN (     SELECT setcode     FROM sets     WHERE expansiontype = 'Alchemy' ) GROUP BY setcode ORDER BY total_cards DESC LIMIT 1
SELECT setcode, COUNT(*) AS total_cards FROM cards WHERE setcode IN (     SELECT setcode     FROM sets     WHERE expansiontype = 'Commander' ) AND setcode NOT IN (     SELECT setcode     FROM sets     WHERE expansiontype = 'Commander'     AND setcode IN (         SELECT setcode         FROM cards         WHERE layout = 'transform'     ) ) GROUP BY setcode ORDER BY total_cards DESC LIMIT 1","SELECT setcode, COUNT(*) AS total_cards FROM cards WHERE setcode IN (     SELECT setcode     FROM sets     WHERE expansiontype = 'Commander' ) AND setcode NOT IN (     SELECT setcode     FROM sets     WHERE expansiontype = 'Alchemy' ) GROUP BY setcode ORDER BY total_cards DESC LIMIT 1"
5,97,Find and list the names of sets which doesn't have Japanese translation but have Korean translation.,card_games,moderate,SELECT name FROM sets WHERE code IN ( SELECT setCode FROM set_translations WHERE language = 'Korean' AND language NOT LIKE '%Japanese%' ),5,"SELECT DISTINCT name FROM cards WHERE name NOT IN (SELECT name FROM foreign_data WHERE language = 'Japanese') AND name IN (SELECT name FROM foreign_data WHERE language = 'Korean')
SELECT DISTINCT name FROM cards WHERE name NOT IN (SELECT name FROM foreign_data WHERE language = 'Japanese') AND name IN (SELECT name FROM foreign_data WHERE language = 'Korean')
SELECT DISTINCT name FROM cards WHERE name NOT IN (SELECT name FROM foreign_data WHERE language = 'Japanese') AND name IN (SELECT name FROM foreign_data WHERE language = 'Korean')
SELECT DISTINCT name FROM cards WHERE name NOT IN (SELECT name FROM foreign_data WHERE language = 'Japanese') AND name IN (SELECT name FROM foreign_data WHERE language = 'Korean')
SELECT DISTINCT name FROM cards WHERE name NOT IN (SELECT name FROM foreign_data WHERE language = 'Japanese') AND name IN (SELECT name FROM foreign_data WHERE language = 'Korean')",SELECT DISTINCT name FROM cards WHERE name NOT IN (SELECT name FROM foreign_data WHERE language = 'Japanese') AND name IN (SELECT name FROM foreign_data WHERE language = 'Korean')
6,16,Please list top three elements of the toxicology of the molecule TR000 in alphabetical order.,toxicology,challenging,SELECT DISTINCT T.element FROM atom AS T WHERE T.molecule_id = 'TR000' ORDER BY T.element LIMIT 3,5,"SELECT * FROM molecule WHERE molecule_id IN (SELECT molecule_id FROM connected WHERE atom_id IN (SELECT atom_id FROM atom WHERE element = 'TR000') GROUP BY molecule_id HAVING COUNT(*) >= 3) ORDER BY label ASC LIMIT 3
SELECT atom.element FROM atom, molecule, connected, bond WHERE atom.molecule_id = molecule.molecule_id AND connected.atom_id = atom.atom_id AND connected.bond_id = bond.bond_id AND bond.molecule_id = molecule.molecule_id AND molecule.label = 'TR000' ORDER BY atom.element LIMIT 3
SELECT * FROM molecule WHERE label = 'TR000' ORDER BY label ASC LIMIT 3
SELECT atom.element FROM atom JOIN connected ON atom.atom_id = connected.atom_id JOIN bond ON connected.bond_id = bond.bond_id JOIN molecule ON bond.molecule_id = molecule.molecule_id WHERE molecule.label = 'TR000' ORDER BY atom.element ASC LIMIT 3
SELECT * FROM molecule WHERE molecule_id IN (SELECT molecule_id FROM connected WHERE atom_id IN (SELECT atom_id FROM atom WHERE element = 'TR000') GROUP BY molecule_id HAVING COUNT(*) >= 3) ORDER BY label ASC LIMIT 3",SELECT * FROM molecule WHERE molecule_id IN (SELECT molecule_id FROM connected WHERE atom_id IN (SELECT atom_id FROM atom WHERE element = 'TR000') GROUP BY molecule_id HAVING COUNT(*) >= 3) ORDER BY label ASC LIMIT 3
7,38,What is the element of toxicology for the atom with the ID of TR000_1?,toxicology,challenging,SELECT T.element FROM atom AS T WHERE T.atom_id = 'TR000_1',5,"SELECT element FROM atom WHERE atom_id = 'TR000_1'
SELECT element FROM atom WHERE atom_id = 'TR000_1'
SELECT element FROM atom WHERE atom_id = 'TR000_1'
SELECT element FROM atom WHERE atom_id = 'TR000_1'
SELECT element FROM atom WHERE atom_id = 'TR000_1'",SELECT element FROM atom WHERE atom_id = 'TR000_1'
8,22,"List all the elements of the toxicology of the molecule ""TR004"".",toxicology,challenging,SELECT DISTINCT T.element FROM atom AS T WHERE T.molecule_id = 'TR004',5,"SELECT * FROM toxicology WHERE molecule_id = (SELECT molecule_id FROM molecule WHERE label = 'TR004')
SELECT * FROM toxicology WHERE molecule_id = (SELECT molecule_id FROM molecule WHERE label = 'TR004')
SELECT * FROM toxicology WHERE molecule_id = (SELECT molecule_id FROM molecule WHERE label = 'TR004')
SELECT * FROM toxicology WHERE molecule_id = (SELECT molecule_id FROM molecule WHERE label = 'TR004')
SELECT * FROM toxicology WHERE molecule_id = (SELECT molecule_id FROM molecule WHERE label = 'TR004')",SELECT * FROM toxicology WHERE molecule_id = (SELECT molecule_id FROM molecule WHERE label = 'TR004')
9,214,How many student have the position of president?,student_club,simple,SELECT COUNT(member_id) FROM member WHERE position = 'President',5,"SELECT COUNT(*) FROM member WHERE position = 'president'
SELECT COUNT(*) FROM member WHERE position = 'president'
SELECT COUNT(*) FROM member WHERE position = 'president'
SELECT COUNT(*) FROM member WHERE position = 'president'
SELECT COUNT(*) FROM member WHERE position = 'president'",SELECT COUNT(*) FROM member WHERE position = 'president'
