Question,hardness,Ground Truth SQL,Basic Predicted SQL,SoQ Predicted SQL,EX,EX SoQ
How many singers do we have?,easy,SELECT count(*) FROM singer,SELECT COUNT(*) AS total_singers FROM singer,SELECT COUNT(*) FROM singer,1,1
What is the total number of singers?,easy,SELECT count(*) FROM singer,SELECT COUNT(*) FROM singer,SELECT COUNT(*) FROM singer,1,1
"Show name, country, age for all singers ordered by age from the oldest to the youngest.",medium,"SELECT name ,  country ,  age FROM singer ORDER BY age DESC","SELECT name, country, age FROM singer ORDER BY age DESC","SELECT T2.name, T2.country, T2.age FROM singer AS T2 ORDER BY T2.age DESC",1,1
"What are the names, countries, and ages for every singer in descending order of age?",medium,"SELECT name ,  country ,  age FROM singer ORDER BY age DESC","SELECT name, country, age FROM singer ORDER BY age DESC","SELECT T2.name, T2.country, T2.age FROM singer AS T2 ORDER BY T2.age DESC",1,1
"What is the average, minimum, and maximum age of all singers from France?",medium,"SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","SELECT AVG(age) AS average_age, MIN(age) AS minimum_age, MAX(age) AS maximum_age FROM singer WHERE country = 'France'","SELECT AVG(T2.age), MIN(T2.age), MAX(T2.age) FROM singer AS T2 INNER JOIN concert AS T1 ON T2.singer_id = T1.singer_id INNER JOIN stadium AS T3 ON T1.stadium_id = T3.stadium_id WHERE T3.location = 'France'",1,0
"What is the average, minimum, and maximum age for all French singers?",medium,"SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","SELECT AVG(age) AS average_age, MIN(age) AS minimum_age, MAX(age) AS maximum_age FROM singer WHERE country = 'France'","SELECT AVG(T2.age), MIN(T2.age), MAX(T2.age) FROM singer AS T2 INNER JOIN concert AS T1 ON T2.singer_id = T1.singer_id INNER JOIN stadium AS T3 ON T1.stadium_id = T3.stadium_id WHERE T3.location = 'France'",1,0
Show the name and the release year of the song by the youngest singer.,medium,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1","SELECT s.song_name, s.song_release_year FROM singer s ORDER BY s.age ASC LIMIT 1","SELECT T2.song_name, T2.song_release_year FROM singer AS T1 INNER JOIN singer_in_concert AS T3 ON T1.singer_id = T3.singer_id INNER JOIN concert AS T4 ON T3.concert_id = T4.concert_id INNER JOIN stadium AS T5 ON T4.stadium_id = T5.stadium_id WHERE T1.age = (SELECT MIN(T6.age) FROM singer AS T6)",1,0
What are the names and release years for all the songs of the youngest singer?,medium,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1","SELECT s.song_name, s.song_release_year FROM singer s WHERE s.age = (SELECT MIN(age) FROM singer)","SELECT T2.song_name, T2.song_release_year FROM singer AS T1 INNER JOIN singer_in_concert AS T3 ON T1.singer_id = T3.singer_id INNER JOIN concert AS T4 ON T3.concert_id = T4.concert_id INNER JOIN stadium AS T5 ON T4.stadium_id = T5.stadium_id WHERE T5.lowest = (SELECT MIN(T6.lowest) FROM stadium AS T6)",1,0
What are all distinct countries where singers above age 20 are from?,easy,SELECT DISTINCT country FROM singer WHERE age  >  20,SELECT DISTINCT country FROM singer WHERE age > 20,SELECT DISTINCT T2.country FROM singer AS T2 INNER JOIN singer_in_concert AS T1 ON T2.singer_id = T1.singer_id WHERE T2.age > 20,1,0
What are  the different countries with singers above age 20?,easy,SELECT DISTINCT country FROM singer WHERE age  >  20,SELECT DISTINCT country FROM singer WHERE age > 20,SELECT DISTINCT T2.country FROM singer AS T2 WHERE T2.age > 20,1,1
